Categoria,Item,Precio,Contenido
Combos Sushi,Combo #1,179,Sushi empanizado (camarón/surimi) + yakimeshi chico veg. + dedo queso manchego empanizado + agua fresca 500ml
Combos Sushi,Combo #2,179,Dragón ball (camarón/surimi) + rollito primavera veg. + dedo queso manchego + agua fresca
Combos Sushi,Combo #3,179,Yakimeshi mediano (pollo/camarón empanizado con aguacate y Philadelphia) + 2 rollitos primavera veg. + agua fresca
Combos Sushi,Combo #4,179,Ensalada fresca GRANDE pollo plancha + crunch hojaldre + rollito primavera veg. + agua fresca
