Categoria,Item,Precio,Descripcion
Platillos Camarón,Norigami,225,Camarones envueltos tocino, rellenos queso manchego, salsa cítrico-picante, yakimeshi
Platillos Camarón,A la Philadelphia,225,Camarones rellenos Philadelphia, empanizados, aderezo, ensalada, yakimeshi
Platillos Camarón,Al Coco,219,Camarones rebozados coco dorado, manzana verde, ensalada fresca, yakimeshi
Platillos Camarón,Imperiales,219,Camarones rebozados almendra dorada, manzana verde, ensalada fresca
Platillos Camarón,Empanizados/Tempura,199,6 piezas, ensalada fresca, yakimeshi
Platillos Camarón,Spaghetti Oriental,Vegetariano,149,Spaghetti, verduras, jengibre, apio, arroz blanco
Platillos Camarón,Spaghetti Oriental,Pollo,185,Spaghetti, verduras, jengibre, apio, arroz blanco
Platillos Camarón,Spaghetti Oriental,Res,187,Spaghetti, verduras, jengibre, apio, arroz blanco
Platillos Camarón,Spaghetti Oriental,Camarón,199,Spaghetti, verduras, jengibre, apio, arroz blanco
Platillos Camarón,Spaghetti Oriental,Mixto,208,Spaghetti, verduras, jengibre, apio, arroz blanco
